site_id_from;site_id_to;iwait;inveht;xwait;xpen;xnum;cost
1658;1659;0.83;0.71;0.0;0.0;0.0;1.54
2025;1659;2.31;9.97;0.0;0.0;0.0;12.28
2359;1659;1.11;9.64;3.16;10.0;2.0;23.91
2360;1659;1.25;4.43;3.16;10.0;2.0;18.84
2363;1659;0.86;8.46;2.96;8.86;1.77;21.13
2368;1659;1.88;5.13;2.31;5.0;1.0;14.31
2369;1659;5.0;4.39;3.1;10.0;2.0;22.49
2576;1659;1.67;7.4;2.83;8.06;1.61;19.95
2589;1659;3.33;12.73;2.31;5.0;1.0;23.37
2590;1659;3.33;11.38;2.31;5.0;1.0;22.02
2591;1659;2.14;8.09;2.61;6.79;1.36;19.63
2592;1659;3.33;9.17;2.31;5.0;1.0;19.81
2593;1659;1.67;6.67;2.83;8.06;1.61;19.22
2594;1659;1.88;6.7;2.31;5.0;1.0;15.88
2597;1659;0.85;3.48;2.31;5.0;1.0;11.64
2616;1659;0.79;13.75;0.97;5.0;1.0;20.51
2628;1659;1.88;3.64;2.31;5.0;1.0;12.82
2629;1659;0.8;3.22;2.31;5.0;1.0;11.32
2630;1659;2.31;1.54;0.0;0.0;0.0;3.85
2686;1659;2.14;11.93;2.52;10.0;2.0;26.6
2785;1659;1.63;2.54;2.31;5.0;1.0;11.48
2786;1659;1.63;3.91;2.31;5.0;1.0;12.85
2787;1659;0.79;3.4;2.31;5.0;1.0;11.5
2788;1659;1.63;6.75;2.31;5.0;1.0;15.69
2790;1659;1.14;8.36;2.55;6.52;1.3;18.56
2791;1659;0.79;6.3;2.31;5.0;1.0;14.4
2793;1659;2.31;6.99;0.0;0.0;0.0;9.3
2794;1659;2.31;5.26;0.0;0.0;0.0;7.57
2795;1659;2.31;3.92;0.0;0.0;0.0;6.23
2811;1659;0.4;6.97;3.1;10.0;2.0;20.46
2814;1659;3.0;17.37;0.97;5.0;1.0;26.34
2860;1659;2.0;5.49;3.1;10.0;2.0;20.59
2861;1659;0.79;4.34;2.31;5.0;1.0;12.44
2862;1659;2.5;6.16;3.1;10.0;2.0;21.76
2863;1659;4.29;7.65;3.1;10.0;2.0;25.03
2924;1659;3.75;6.58;3.16;10.0;2.0;23.49
2925;1659;2.73;8.1;3.16;10.0;2.0;23.98
2926;1659;0.38;6.03;3.13;10.0;2.0;19.53
2937;1659;6.0;5.55;3.16;10.0;2.0;24.71
3014;1659;3.33;7.71;3.12;10.0;2.0;24.17
3317;1659;1.55;15.17;2.26;10.0;2.0;28.97
3318;1659;10.0;23.67;1.76;10.0;2.0;45.43
3349;1659;1.76;9.64;3.13;10.0;2.0;24.53
3798;1659;3.33;7.53;3.12;10.0;2.0;23.98
3799;1659;1.5;7.07;3.14;10.0;2.0;21.71
3962;1659;0.94;19.75;3.16;10.0;2.0;33.85
4077;1659;5.0;22.66;3.1;10.0;2.0;40.76
4138;1659;1.0;5.19;3.15;10.0;2.0;19.33
4142;1659;1.11;6.0;3.16;10.0;2.0;20.27
4149;1659;7.5;8.05;3.16;10.0;2.0;28.71
4151;1659;6.0;7.55;3.1;10.0;2.0;26.65
4187;1659;4.29;20.93;3.14;10.0;2.0;38.36
4276;1659;1.43;4.87;0.83;5.0;1.0;12.13
4304;1659;3.33;7.86;2.31;5.0;1.0;18.5
4308;1659;1.88;5.77;2.31;5.0;1.0;14.95
4309;1659;7.5;13.25;3.75;5.0;1.0;29.5
4351;1659;7.5;7.59;3.1;10.0;2.0;28.19
4352;1659;7.5;8.86;3.1;10.0;2.0;29.46
4355;1659;2.73;11.02;3.1;10.0;2.0;26.84
4357;1659;2.73;9.71;3.1;10.0;2.0;25.53
6159;1659;2.73;4.85;3.16;10.0;2.0;20.73
1658;4276;0.83;3.65;1.43;5.0;1.0;10.91
1659;4276;0.83;2.94;1.43;5.0;1.0;10.2
2025;4276;2.31;8.58;1.43;5.0;1.0;17.32
2359;4276;1.11;11.03;3.48;5.93;1.19;21.54
2360;4276;1.25;4.17;2.28;10.0;2.0;17.7
2363;4276;1.11;7.38;2.28;10.0;2.0;20.77
2368;4276;1.88;4.87;1.43;5.0;1.0;13.17
2369;4276;5.0;4.13;2.22;10.0;2.0;21.35
2576;4276;1.67;7.14;1.95;8.06;1.61;18.81
2589;4276;3.33;12.47;1.43;5.0;1.0;22.23
2590;4276;3.33;11.12;1.43;5.0;1.0;20.88
2591;4276;2.14;7.83;1.73;6.79;1.36;18.49
2592;4276;3.33;8.91;1.43;5.0;1.0;18.67
2593;4276;1.67;6.41;1.95;8.06;1.61;18.08
2594;4276;1.88;6.44;1.43;5.0;1.0;14.74
2597;4276;0.85;3.22;1.43;5.0;1.0;10.5
2616;4276;0.79;7.19;2.22;10.0;2.0;20.2
2628;4276;1.88;3.38;1.43;5.0;1.0;11.68
2629;4276;0.8;2.96;1.43;5.0;1.0;10.18
2630;4276;1.43;1.28;0.0;0.0;0.0;2.71
2686;4276;3.75;10.2;2.22;10.0;2.0;26.17
2785;4276;1.63;2.28;1.43;5.0;1.0;10.34
2786;4276;1.63;3.65;1.43;5.0;1.0;11.71
2787;4276;0.79;3.14;1.43;5.0;1.0;10.36
2788;4276;1.63;6.49;1.43;5.0;1.0;14.55
2790;4276;1.14;8.1;1.67;6.52;1.3;17.42
2791;4276;0.79;6.04;1.43;5.0;1.0;13.26
2793;4276;0.86;6.88;1.43;5.0;1.0;14.17
2794;4276;0.82;4.97;1.43;5.0;1.0;12.22
2795;4276;2.31;2.53;1.43;5.0;1.0;11.27
2811;4276;0.4;6.71;2.22;10.0;2.0;19.32
2814;4276;3.0;13.43;3.75;5.0;1.0;25.18
2860;4276;2.0;5.23;2.22;10.0;2.0;19.45
2861;4276;0.79;4.08;1.43;5.0;1.0;11.3
2862;4276;2.5;5.9;2.22;10.0;2.0;20.62
2863;4276;4.29;7.39;2.22;10.0;2.0;23.89
2924;4276;3.75;6.32;2.28;10.0;2.0;22.35
2925;4276;2.73;7.84;2.28;10.0;2.0;22.85
2926;4276;0.38;5.77;2.25;10.0;2.0;18.39
2937;4276;6.0;5.29;2.28;10.0;2.0;23.57
3014;4276;3.33;7.45;2.25;10.0;2.0;23.03
3317;4276;1.55;13.71;3.68;10.0;2.0;28.94
3318;4276;5.0;25.38;4.76;10.0;2.0;45.14
3349;4276;1.76;9.38;2.25;10.0;2.0;23.39
3798;4276;3.33;7.27;2.25;10.0;2.0;22.84
3799;4276;1.5;6.81;2.26;10.0;2.0;20.57
3962;4276;0.94;19.49;2.28;10.0;2.0;32.71
4077;4276;5.0;22.4;2.22;10.0;2.0;39.62
4138;4276;1.0;4.93;2.27;10.0;2.0;18.19
4142;4276;1.11;5.74;2.28;10.0;2.0;19.13
4149;4276;7.5;7.79;2.28;10.0;2.0;27.57
4151;4276;6.0;7.29;2.22;10.0;2.0;25.51
4187;4276;4.29;19.46;5.11;10.0;2.0;38.86
4304;4276;3.33;7.6;1.43;5.0;1.0;17.36
4308;4276;1.88;5.51;1.43;5.0;1.0;13.81
4309;4276;7.5;11.86;5.18;10.0;2.0;34.54
4351;4276;7.5;7.33;2.22;10.0;2.0;27.05
4352;4276;7.5;8.6;2.22;10.0;2.0;28.32
4355;4276;2.73;10.76;2.22;10.0;2.0;25.7
4357;4276;2.73;9.45;2.22;10.0;2.0;24.39
6159;4276;2.73;4.59;2.28;10.0;2.0;19.6
1658;2814;0.83;9.2;1.49;10.0;2.0;21.52
1659;2814;0.83;8.49;1.49;10.0;2.0;20.81
2025;2814;2.31;14.13;1.49;10.0;2.0;27.92
2359;2814;0.75;11.86;4.17;7.25;1.45;24.03
2360;2814;2.0;9.66;1.02;7.0;1.4;19.68
2363;2814;2.0;16.22;1.02;7.0;1.4;26.24
2368;2814;1.2;11.73;1.2;8.2;1.64;22.33
2369;2814;5.0;5.96;1.49;10.0;2.0;22.45
2576;2814;1.67;12.52;3.53;10.0;2.0;27.71
2589;2814;1.67;7.81;4.27;8.89;1.78;22.63
2590;2814;1.25;17.83;2.9;6.88;1.38;28.86
2591;2814;2.14;14.82;2.77;8.21;1.64;27.95
2592;2814;3.33;14.46;1.49;10.0;2.0;29.28
2593;2814;1.67;11.79;3.53;10.0;2.0;26.98
2594;2814;1.11;11.16;2.85;10.0;2.0;25.12
2597;2814;0.61;8.48;4.21;5.0;1.0;18.31
2616;2814;1.76;7.62;0.0;0.0;0.0;9.38
2628;2814;1.88;8.93;1.49;10.0;2.0;22.29
2629;2814;0.8;8.5;1.49;10.0;2.0;20.79
2630;2814;0.68;7.49;0.61;4.33;0.87;13.11
2686;2814;3.75;6.38;0.0;0.0;0.0;10.13
2785;2814;5.08;10.42;0.0;0.0;0.0;15.5
2786;2814;5.08;9.13;0.0;0.0;0.0;14.21
2787;2814;0.68;5.36;0.61;4.33;0.87;10.97
2788;2814;5.08;6.72;0.0;0.0;0.0;11.8
2790;2814;5.08;3.58;0.0;0.0;0.0;8.66
2791;2814;0.7;2.07;0.0;0.0;0.0;2.77
2793;2814;0.86;12.42;1.49;10.0;2.0;24.78
2794;2814;0.82;10.52;1.49;10.0;2.0;22.82
2795;2814;2.31;8.08;1.49;10.0;2.0;21.87
2811;2814;5.0;1.15;0.0;0.0;0.0;6.15
2860;2814;2.0;6.55;3.92;5.0;1.0;17.47
2861;2814;0.68;4.21;0.61;4.33;0.87;9.83
2862;2814;2.5;7.21;5.08;5.0;1.0;19.79
2863;2814;4.29;8.7;5.08;5.0;1.0;23.07
2924;2814;3.33;8.7;0.7;5.0;1.0;17.73
2925;2814;1.0;6.88;5.29;10.0;2.0;23.18
2926;2814;0.68;5.55;4.61;5.0;1.0;15.84
2937;2814;0.83;8.27;1.53;10.0;2.0;20.64
3014;2814;3.33;10.52;4.97;7.22;1.44;26.04
3317;2814;2.46;8.97;0.91;5.0;1.0;17.34
3318;2814;5.0;13.17;4.18;7.5;1.5;29.86
3349;2814;3.33;6.65;0.7;5.0;1.0;15.68
3798;2814;3.33;10.33;4.97;7.22;1.44;25.86
3799;2814;0.86;8.0;5.26;9.29;1.86;23.4
3962;2814;0.77;7.6;5.0;5.0;1.0;18.37
4077;2814;5.0;18.43;1.49;10.0;2.0;34.92
4138;2814;2.0;8.41;1.02;7.0;1.4;18.43
4142;2814;2.0;14.58;1.02;7.0;1.4;24.6
4149;2814;7.5;13.05;4.82;10.0;2.0;35.38
4151;2814;6.0;8.6;5.08;5.0;1.0;24.68
4187;2814;4.29;8.38;5.29;10.0;2.0;27.95
4276;2814;1.43;20.96;4.29;5.0;1.0;31.67
4304;2814;3.33;13.15;1.49;10.0;2.0;27.97
4308;2814;1.88;11.06;1.49;10.0;2.0;24.42
4309;2814;7.5;29.64;3.75;5.0;1.0;45.89
4351;2814;7.5;3.36;0.7;5.0;1.0;16.56
4352;2814;7.5;4.63;0.7;5.0;1.0;17.83
4355;2814;7.5;8.08;0.7;5.0;1.0;21.28
4357;2814;0.75;5.88;1.45;9.5;1.9;17.59
6159;2814;2.73;9.85;4.82;10.0;2.0;27.4
1658;2025;1.88;10.61;0.0;0.0;0.0;12.48
1659;2025;1.88;9.9;0.0;0.0;0.0;11.77
2359;2025;6.0;10.26;3.75;5.0;1.0;25.01
2360;2025;1.25;7.94;3.75;5.0;1.0;17.94
2363;2025;3.75;1.24;0.0;0.0;0.0;4.99
2368;2025;1.25;3.84;3.75;5.0;1.0;13.84
2369;2025;5.0;10.63;2.67;10.0;2.0;28.29
2576;2025;1.36;9.78;4.66;8.41;1.68;24.21
2589;2025;1.11;15.3;1.92;8.33;1.67;26.66
2590;2025;3.33;17.62;1.88;5.0;1.0;27.83
2591;2025;3.33;8.74;3.27;7.78;1.56;23.13
2592;2025;3.33;15.41;1.88;5.0;1.0;25.62
2593;2025;1.67;10.27;3.78;8.06;1.61;23.78
2594;2025;1.88;12.94;1.88;5.0;1.0;21.69
2597;2025;1.25;5.4;3.75;5.0;1.0;15.4
2616;2025;0.81;15.76;1.11;5.0;1.0;22.68
2628;2025;1.88;9.88;1.88;5.0;1.0;18.63
2629;2025;0.8;9.46;1.87;5.0;1.0;17.13
2630;2025;1.88;7.78;0.0;0.0;0.0;9.65
2686;2025;3.75;16.7;2.67;10.0;2.0;33.11
2785;2025;1.63;8.78;1.88;5.0;1.0;17.29
2786;2025;1.63;10.15;1.88;5.0;1.0;18.66
2787;2025;0.79;9.64;1.87;5.0;1.0;17.3
2788;2025;1.63;12.99;1.88;5.0;1.0;21.5
2790;2025;1.14;15.43;2.44;5.0;1.0;24.01
2791;2025;0.79;12.54;1.87;5.0;1.0;20.2
2793;2025;1.88;2.59;0.0;0.0;0.0;4.46
2794;2025;1.88;4.15;0.0;0.0;0.0;6.03
2795;2025;1.88;5.82;0.0;0.0;0.0;7.7
2811;2025;0.75;14.7;3.75;5.0;1.0;24.2
2814;2025;0.54;16.67;4.18;10.0;2.0;31.39
2860;2025;2.0;11.73;2.67;10.0;2.0;26.39
2861;2025;0.79;10.58;1.87;5.0;1.0;18.24
2862;2025;1.3;13.35;2.18;9.13;1.83;25.96
2863;2025;2.14;12.27;2.31;10.0;2.0;26.72
2924;2025;3.75;10.09;3.75;5.0;1.0;22.59
2925;2025;2.73;11.61;3.75;5.0;1.0;23.09
2926;2025;0.6;11.3;3.22;5.0;1.0;20.12
2937;2025;0.83;6.76;1.11;5.0;1.0;13.71
3014;2025;3.33;13.13;4.09;7.78;1.56;28.33
3317;2025;2.46;18.04;1.92;10.0;2.0;32.42
3318;2025;10.0;30.03;2.73;10.0;2.0;52.75
3349;2025;3.75;11.75;3.75;5.0;1.0;24.25
3798;2025;3.33;12.94;4.09;7.78;1.56;28.14
3799;2025;2.73;10.11;3.75;5.0;1.0;21.59
3962;2025;0.77;25.43;3.04;10.0;2.0;39.25
4077;2025;5.0;28.9;2.67;10.0;2.0;46.56
4138;2025;1.25;8.69;3.75;5.0;1.0;18.69
4142;2025;1.25;2.48;3.75;5.0;1.0;12.48
4149;2025;7.5;18.32;1.11;5.0;1.0;31.93
4151;2025;6.0;13.79;2.67;10.0;2.0;32.45
4187;2025;4.29;10.02;1.95;10.0;2.0;26.25
4276;2025;1.43;14.77;1.88;5.0;1.0;23.07
4304;2025;3.33;14.1;1.88;5.0;1.0;24.31
4308;2025;1.88;12.01;1.88;5.0;1.0;20.76
4309;2025;7.5;3.28;1.11;5.0;1.0;16.89
4351;2025;3.75;12.76;2.31;10.0;2.0;28.82
4352;2025;3.75;12.77;2.31;10.0;2.0;28.83
4355;2025;0.75;12.44;1.63;8.12;1.62;22.95
4357;2025;0.83;9.24;1.11;5.0;1.0;16.19
6159;2025;2.73;6.77;5.0;10.0;2.0;24.5
1658;2795;1.88;4.79;0.0;0.0;0.0;6.67
1659;2795;1.88;4.08;0.0;0.0;0.0;5.96
2025;2795;2.31;6.05;0.0;0.0;0.0;8.36
2359;2795;1.11;10.06;1.69;10.0;2.0;22.86
2360;2795;1.25;4.85;1.69;10.0;2.0;17.79
2363;2795;3.75;7.29;2.31;5.0;1.0;18.35
2368;2795;1.88;5.55;0.84;5.0;1.0;13.26
2369;2795;5.0;4.81;1.63;10.0;2.0;21.44
2576;2795;1.67;7.82;1.36;8.06;1.61;18.9
2589;2795;3.33;13.15;0.84;5.0;1.0;22.32
2590;2795;3.33;11.8;0.84;5.0;1.0;20.97
2591;2795;2.14;8.51;1.14;6.79;1.36;18.58
2592;2795;3.33;9.59;0.84;5.0;1.0;18.76
2593;2795;1.67;7.09;1.36;8.06;1.61;18.17
2594;2795;1.88;7.12;0.84;5.0;1.0;14.83
2597;2795;0.85;3.9;0.84;5.0;1.0;10.59
2616;2795;0.79;7.87;1.63;10.0;2.0;20.29
2628;2795;1.88;4.06;0.84;5.0;1.0;11.77
2629;2795;0.8;3.64;0.84;5.0;1.0;10.27
2630;2795;0.84;1.96;0.0;0.0;0.0;2.8
2686;2795;3.75;10.88;1.63;10.0;2.0;26.26
2785;2795;1.63;2.96;0.84;5.0;1.0;10.43
2786;2795;1.63;4.33;0.84;5.0;1.0;11.8
2787;2795;0.79;3.82;0.84;5.0;1.0;10.45
2788;2795;1.63;7.17;0.84;5.0;1.0;14.64
2790;2795;1.14;8.78;1.08;6.52;1.3;17.51
2791;2795;0.79;6.72;0.84;5.0;1.0;13.35
2793;2795;2.31;3.07;0.0;0.0;0.0;5.38
2794;2795;2.31;1.34;0.0;0.0;0.0;3.65
2811;2795;0.4;7.39;1.63;10.0;2.0;19.41
2814;2795;3.0;12.09;1.69;10.0;2.0;26.78
2860;2795;2.0;5.91;1.63;10.0;2.0;19.54
2861;2795;0.79;4.76;0.84;5.0;1.0;11.39
2862;2795;2.5;6.58;1.63;10.0;2.0;20.71
2863;2795;4.29;8.07;1.63;10.0;2.0;23.98
2924;2795;3.75;7.0;1.69;10.0;2.0;22.44
2925;2795;2.73;8.52;1.69;10.0;2.0;22.94
2926;2795;0.38;6.45;1.66;10.0;2.0;18.48
2937;2795;0.73;12.8;2.23;5.61;1.12;21.38
3014;2795;3.33;8.13;1.65;10.0;2.0;23.12
3317;2795;4.17;14.14;1.63;10.0;2.0;29.93
3318;2795;10.0;24.21;1.69;10.0;2.0;45.9
3349;2795;1.76;10.06;1.66;10.0;2.0;23.48
3798;2795;3.33;7.95;1.65;10.0;2.0;22.93
3799;2795;1.5;7.49;1.67;10.0;2.0;20.66
3962;2795;0.94;20.17;1.69;10.0;2.0;32.8
4077;2795;5.0;23.08;1.63;10.0;2.0;39.71
4138;2795;1.0;5.61;1.68;10.0;2.0;18.28
4142;2795;1.11;6.42;1.69;10.0;2.0;19.22
4149;2795;7.5;8.47;1.69;10.0;2.0;27.66
4151;2795;6.0;7.97;1.63;10.0;2.0;25.6
4187;2795;4.29;17.01;3.14;10.0;2.0;34.44
4276;2795;1.43;8.95;1.88;5.0;1.0;17.25
4304;2795;3.33;8.28;0.84;5.0;1.0;17.45
4308;2795;1.88;6.19;0.84;5.0;1.0;13.9
4309;2795;7.5;9.33;3.75;5.0;1.0;25.58
4351;2795;7.5;8.01;1.63;10.0;2.0;27.14
4352;2795;7.5;9.28;1.63;10.0;2.0;28.41
4355;2795;2.73;11.44;1.63;10.0;2.0;25.79
4357;2795;0.64;14.8;2.15;6.17;1.23;23.76
6159;2795;2.73;5.27;1.69;10.0;2.0;19.69
1658;2369;0.83;11.35;7.0;10.0;2.0;29.18
1659;2369;0.83;10.64;7.0;10.0;2.0;28.47
2025;2369;3.75;11.47;2.11;10.0;2.0;27.33
2359;2369;1.67;2.97;1.36;5.0;1.0;11.0
2360;2369;5.0;2.07;0.0;0.0;0.0;7.07
2363;2369;5.0;8.63;0.0;0.0;0.0;13.63
2368;2369;5.0;5.37;0.0;0.0;0.0;10.37
2576;2369;1.67;7.21;5.0;5.0;1.0;18.88
2589;2369;1.67;5.06;1.36;5.0;1.0;13.09
2590;2369;2.0;6.13;3.03;10.0;2.0;21.16
2591;2369;6.0;4.93;1.36;5.0;1.0;17.29
2592;2369;1.25;8.84;3.77;8.12;1.62;21.98
2593;2369;1.67;6.48;5.0;5.0;1.0;18.15
2594;2369;1.11;5.95;5.0;5.0;1.0;17.06
2597;2369;5.0;3.02;0.0;0.0;0.0;8.02
2616;2369;0.81;9.79;1.76;5.0;1.0;17.36
2628;2369;2.0;6.91;5.0;5.0;1.0;18.91
2629;2369;2.0;7.81;5.0;5.0;1.0;19.81
2630;2369;0.57;8.34;2.88;8.58;1.72;20.38
2686;2369;0.91;16.87;2.31;7.12;1.42;27.21
2785;2369;1.57;8.56;3.03;10.0;2.0;23.16
2786;2369;1.57;7.27;3.03;10.0;2.0;21.87
2787;2369;1.67;6.02;1.36;5.0;1.0;14.05
2788;2369;1.57;6.62;2.05;10.0;2.0;20.24
2790;2369;1.14;6.9;2.94;8.48;1.7;19.46
2791;2369;0.65;7.53;2.56;9.13;1.83;19.87
2793;2369;0.86;12.5;6.82;10.0;2.0;30.18
2794;2369;1.52;11.41;5.0;5.0;1.0;22.93
2795;2369;1.52;13.08;5.0;5.0;1.0;24.6
2811;2369;0.75;7.75;1.36;5.0;1.0;14.86
2814;2369;0.65;9.44;2.11;10.0;2.0;22.21
2860;2369;2.0;8.94;1.55;6.33;1.27;18.82
2861;2369;0.68;5.29;1.36;5.0;1.0;12.34
2862;2369;2.73;6.43;1.36;5.0;1.0;15.53
2863;2369;4.29;7.18;1.36;5.0;1.0;17.83
2924;2369;1.0;2.06;1.36;5.0;1.0;9.42
2925;2369;1.36;2.5;0.0;0.0;0.0;3.86
2926;2369;1.36;3.71;0.0;0.0;0.0;5.07
2937;2369;2.14;6.49;1.36;5.0;1.0;14.99
3014;2369;3.33;3.3;2.98;5.0;1.0;14.61
3317;2369;2.46;12.07;2.57;10.0;2.0;27.1
3318;2369;5.0;28.51;2.12;7.5;1.5;43.13
3349;2369;3.75;3.88;5.0;5.0;1.0;17.63
3798;2369;6.0;1.55;1.36;5.0;1.0;13.91
3799;2369;1.36;1.0;0.0;0.0;0.0;2.36
3962;2369;4.29;15.93;2.11;10.0;2.0;32.33
4077;2369;5.0;32.5;2.61;10.0;2.0;50.11
4138;2369;5.0;0.82;0.0;0.0;0.0;5.82
4142;2369;5.0;6.99;0.0;0.0;0.0;11.99
4149;2369;7.5;2.57;1.36;5.0;1.0;16.43
4151;2369;6.0;8.5;2.05;10.0;2.0;26.55
4187;2369;4.29;6.54;1.36;5.0;1.0;17.19
4276;2369;6.0;20.6;3.03;10.0;2.0;39.63
4304;2369;3.33;8.1;5.0;5.0;1.0;21.43
4308;2369;1.88;6.01;5.0;5.0;1.0;17.89
4309;2369;7.5;11.17;6.67;10.0;2.0;35.34
4351;2369;7.5;8.22;1.36;5.0;1.0;22.08
4352;2369;7.5;6.96;1.36;5.0;1.0;20.82
4355;2369;1.15;4.44;1.36;5.0;1.0;11.95
4357;2369;1.15;5.76;1.36;5.0;1.0;13.27
6159;2369;2.73;4.39;5.0;5.0;1.0;17.12
1658;2589;0.83;13.17;3.75;5.0;1.0;22.75
1659;2589;0.83;12.46;3.75;5.0;1.0;22.04
2025;2589;0.88;14.14;1.67;5.0;1.0;21.69
2359;2589;1.3;9.48;4.1;8.91;1.78;23.8
2360;2589;1.25;11.29;3.75;5.0;1.0;21.29
2363;2589;1.11;10.45;3.75;5.0;1.0;20.31
2368;2589;3.75;7.19;0.0;0.0;0.0;10.94
2369;2589;5.0;13.65;4.54;10.0;2.0;33.19
2576;2589;4.29;9.63;0.0;0.0;0.0;13.92
2590;2589;2.0;1.07;0.0;0.0;0.0;3.07
2591;2589;2.0;2.4;0.0;0.0;0.0;4.4
2592;2589;2.0;3.44;0.0;0.0;0.0;5.44
2593;2589;4.29;10.28;0.0;0.0;0.0;14.57
2594;2589;3.75;6.04;0.0;0.0;0.0;9.79
2597;2589;0.6;7.22;1.91;5.0;1.0;14.73
2616;2589;0.81;9.16;1.88;5.0;1.0;16.84
2628;2589;3.75;8.73;0.0;0.0;0.0;12.48
2629;2589;3.75;9.63;0.0;0.0;0.0;13.38
2630;2589;3.75;10.8;0.0;0.0;0.0;14.55
2686;2589;2.14;14.77;3.5;10.0;2.0;30.42
2785;2589;1.63;11.8;3.75;5.0;1.0;22.18
2786;2589;1.63;13.17;3.75;5.0;1.0;23.55
2787;2589;0.79;12.66;3.75;5.0;1.0;22.2
2788;2589;1.63;16.01;3.75;5.0;1.0;26.39
2790;2589;1.14;18.55;3.75;5.0;1.0;28.44
2791;2589;0.68;9.88;2.8;9.09;1.82;22.45
2793;2589;0.8;15.12;2.87;5.0;1.0;23.78
2794;2589;1.38;11.98;3.75;5.0;1.0;22.11
2795;2589;2.31;12.05;3.75;5.0;1.0;23.11
2811;2589;0.4;8.87;3.63;10.0;2.0;22.9
2814;2589;0.65;18.93;3.75;10.0;2.0;33.34
2860;2589;2.73;11.38;2.97;8.18;1.64;25.26
2861;2589;0.68;6.19;4.0;9.55;1.91;20.42
2862;2589;2.73;7.97;2.97;8.18;1.64;21.85
2863;2589;4.29;6.08;3.52;10.0;2.0;23.89
2924;2589;0.79;8.61;4.11;8.95;1.79;22.45
2925;2589;1.0;5.42;4.2;10.0;2.0;20.62
